,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
46,1304047,1,7,2,AT Rayudu,CV Varun,RV Uthappa,,0,0,0,0,0,,,,Chennai Super Kings
47,1304047,1,7,3,AT Rayudu,CV Varun,RV Uthappa,,6,0,6,0,0,,,,Chennai Super Kings
48,1304047,1,7,4,AT Rayudu,CV Varun,RV Uthappa,,0,0,0,0,0,,,,Chennai Super Kings
49,1304047,1,7,5,AT Rayudu,CV Varun,RV Uthappa,,1,0,1,0,0,,,,Chennai Super Kings
50,1304047,1,7,6,RV Uthappa,CV Varun,AT Rayudu,wides,0,1,1,0,1,RV Uthappa,stumped,SP Jackson,Chennai Super Kings
51,1304047,1,7,7,RA Jadeja,CV Varun,AT Rayudu,,1,0,1,0,0,,,,Chennai Super Kings
52,1304047,1,8,1,RA Jadeja,SP Narine,AT Rayudu,,1,0,1,0,0,,,,Chennai Super Kings
53,1304047,1,8,2,AT Rayudu,SP Narine,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
54,1304047,1,8,3,AT Rayudu,SP Narine,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
55,1304047,1,8,4,RA Jadeja,SP Narine,AT Rayudu,,0,0,0,0,1,AT Rayudu,run out,SS Iyer,Chennai Super Kings
56,1304047,1,8,5,RA Jadeja,SP Narine,S Dube,,1,0,1,0,0,,,,Chennai Super Kings
57,1304047,1,8,6,S Dube,SP Narine,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
58,1304047,1,9,1,RA Jadeja,CV Varun,S Dube,,2,0,2,0,0,,,,Chennai Super Kings
59,1304047,1,9,2,RA Jadeja,CV Varun,S Dube,,1,0,1,0,0,,,,Chennai Super Kings
60,1304047,1,9,3,S Dube,CV Varun,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
61,1304047,1,9,4,S Dube,CV Varun,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
62,1304047,1,9,5,RA Jadeja,CV Varun,S Dube,,0,0,0,0,0,,,,Chennai Super Kings
63,1304047,1,9,6,RA Jadeja,CV Varun,S Dube,,0,0,0,0,0,,,,Chennai Super Kings
64,1304047,1,10,1,S Dube,AD Russell,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
65,1304047,1,10,2,RA Jadeja,AD Russell,S Dube,,1,0,1,0,0,,,,Chennai Super Kings
66,1304047,1,10,3,S Dube,AD Russell,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
67,1304047,1,10,4,RA Jadeja,AD Russell,S Dube,,1,0,1,0,0,,,,Chennai Super Kings
68,1304047,1,10,5,S Dube,AD Russell,RA Jadeja,,0,0,0,0,1,S Dube,caught,SP Narine,Chennai Super Kings
69,1304047,1,10,6,MS Dhoni,AD Russell,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
70,1304047,1,11,1,RA Jadeja,CV Varun,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
71,1304047,1,11,2,MS Dhoni,CV Varun,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
72,1304047,1,11,3,MS Dhoni,CV Varun,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
73,1304047,1,11,4,MS Dhoni,CV Varun,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
74,1304047,1,11,5,RA Jadeja,CV Varun,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
75,1304047,1,11,6,MS Dhoni,CV Varun,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
76,1304047,1,12,1,RA Jadeja,AD Russell,MS Dhoni,,0,0,0,0,0,,,,Chennai Super Kings
77,1304047,1,12,2,RA Jadeja,AD Russell,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
78,1304047,1,12,3,MS Dhoni,AD Russell,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
79,1304047,1,12,4,MS Dhoni,AD Russell,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
80,1304047,1,12,5,MS Dhoni,AD Russell,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
81,1304047,1,12,6,RA Jadeja,AD Russell,MS Dhoni,,0,0,0,0,0,,,,Chennai Super Kings
82,1304047,1,13,1,MS Dhoni,Shivam Mavi,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
83,1304047,1,13,2,MS Dhoni,Shivam Mavi,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
